id,email,first_name,last_name,phone,dob,default_billing,default_shipping,group,gender,status,created_at
1,ffiala@hotmail.sa.test,Fernando,Fiala,+1-225-797-1500,1989-07-26,5,5,VIP,"{'last_name': 'Sampson', 'gender': 'F'}",Active,2025-12-12 16:43:11
2,teagan.gregory@ntlworld.com.test,Teagan,Gregory,+1-416-980-7295,1973-12-10,4,1,General,"{'last_name': 'Almeida', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
3,reesewoodard@hotmail.ph.test,Reese,Woodard,+1-324-963-9269,1985-03-16,2,4,VIP,"{'last_name': 'Good', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
4,lorenzo.griffith@yandex.com.tr.test,Lorenzo,Griffith,+1-243-484-5921,1961-07-14,4,1,General,"{'last_name': 'Bryant', 'gender': 'M'}",Active,2025-12-12 16:43:11
5,frida71@hot.ee.test,Frida,Hoffman,+1-547-687-2056,1964-11-03,1,5,General,"{'last_name': 'Iglesias', 'gender': 'M'}",Active,2025-12-12 16:43:11
6,thiago502@planet.nl.test,Thiago,Compton,+1-433-923-2447,1983-06-29,4,5,VIP,"{'last_name': 'Duncan', 'gender': 'F'}",Active,2025-12-12 16:43:11
7,tatummoon@rediffmail.com.test,Tatum,Moon,+1-526-719-4827,1958-02-22,3,5,Wholesale,"{'last_name': 'Sampson', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
8,garrett903@xtra.co.nz.test,Garrett,Alston,+1-873-481-8383,1964-05-06,5,1,General,"{'last_name': 'Frost', 'gender': 'M'}",Active,2025-12-12 16:43:11
9,arabella151@hotmail.in.test,Arabella,Jensen,+1-838-465-7145,1978-05-21,5,2,Wholesale,"{'last_name': 'Hawthorne', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
10,seth.huber@ig.com.br.test,Seth,Huber,+1-304-630-8668,1964-07-08,2,1,General,"{'last_name': 'Hickman', 'gender': 'F'}",Active,2025-12-12 16:43:11
11,lacosta@otenet.gr.test,Legacy,Acosta,+1-862-591-7686,1986-02-17,4,4,VIP,"{'last_name': 'Stein', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
12,graysongarza@entelchile.net.test,Grayson,Garza,+1-828-987-1839,1989-11-11,4,3,Wholesale,"{'last_name': 'Larson', 'gender': 'M'}",Active,2025-12-12 16:43:11
13,luca870@etb.net.co.test,Luca,Brewer,+1-453-735-6019,1960-08-12,4,3,Retailer,"{'last_name': 'Garza', 'gender': 'M'}",Active,2025-12-12 16:43:11
14,mtravis@sfr.fr.test,Mila,Travis,+1-605-637-9538,1983-12-08,5,4,General,"{'last_name': 'Robinson', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
15,nicolaslarsen@gmail.ve.test,Nicolas,Larsen,+1-586-288-7200,1986-02-02,4,2,General,"{'last_name': 'Clarke', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
